Name,ENVIRON_DISCLOSURE_SCORE,Company name
ALDX UR,#N/A N/A,Aldeyra Therapeutics Inc
ALE UN,15.86206897,ALLETE Inc
ALEC UW,2.325581395,Alector Inc
ALEX UN,#N/A N/A,Alexander & Baldwin Inc
ALG UN,12.40310078,Alamo Group Inc
ALGT UW,1.550387597,Allegiant Travel Co
ALLK UW,#N/A N/A,Allakos Inc
ALLO UW,#N/A N/A,Allogene Therapeutics Inc
ALOT UQ,1.550387597,AstroNova Inc
ALRM UW,1.550387597,Alarm.com Holdings Inc
ALRS UR,#N/A N/A,Alerus Financial Corp
ALTM UQ,1.550387597,Altus Midstream Co
ALTR UW,#N/A N/A,Altair Engineering Inc
ALX UN,1.550387597,Alexander's Inc
AMAG UW,#N/A N/A,AMAG Pharmaceuticals Inc
AMAL UQ,33.92857143,Amalgamated Bank
AMBA UW,#N/A N/A,Ambarella Inc
AMBC UN,#N/A N/A,Ambac Financial Group Inc
AMC UN,1.550387597,AMC Entertainment Holdings Inc
AMED UW,1.550387597,Amedisys Inc
AMEH UR,1.550387597,Apollo Medical Holdings Inc
AMK UN,#N/A N/A,Assetmark Financial Holdings Inc
AMKR UW,4.651162791,Amkor Technology Inc
AMN UN,12.5,AMN Healthcare Services Inc
AMNB UW,1.785714286,American National Bankshares Inc
AMOT UQ,#N/A N/A,Allied Motion Technologies Inc
AMPH UW,#N/A N/A,Amphastar Pharmaceuticals Inc
AMPY UN,#N/A N/A,Amplify Energy Corp
AMRC UN,2.325581395,Ameresco Inc
AMRS UW,1.550387597,Amyris Inc
AMRX UN,1.550387597,Amneal Pharmaceuticals Inc
AMSC UW,#N/A N/A,American Superconductor Corp
AMSF UW,#N/A N/A,AMERISAFE Inc
AMSWA UW,#N/A N/A,American Software Inc/GA
AMTB UW,#N/A N/A,Amerant Bancorp Inc
AMWD UW,#N/A N/A,American Woodmark Corp
ANAB UW,#N/A N/A,AnaptysBio Inc
ANDE UW,#N/A N/A,Andersons Inc/The
ANF UN,14.58333333,Abercrombie & Fitch Co
ANGO UW,1.550387597,AngioDynamics Inc
ANH UN,1.785714286,Anworth Mortgage Asset Corp
ANIK UW,#N/A N/A,Anika Therapeutics Inc
ANIP UQ,#N/A N/A,ANI Pharmaceuticals Inc
AOSL UW,2.325581395,Alpha & Omega Semiconductor Ltd
APAM UN,#N/A N/A,Artisan Partners Asset Management Inc
APEI UW,#N/A N/A,American Public Education Inc
APLS UW,1.550387597,Apellis Pharmaceuticals Inc
APLT UQ,#N/A N/A,Applied Therapeutics Inc
APOG UW,8.527131783,Apogee Enterprises Inc
APPF UQ,#N/A N/A,Appfolio Inc
APPN UQ,#N/A N/A,Appian Corp
APPS UR,#N/A N/A,Digital Turbine Inc
APRE UW,#N/A N/A,Aprea Therapeutics Inc
APTS UN,3.100775194,Preferred Apartment Communities Inc
APYX UW,#N/A N/A,Apyx Medical Corp
AQUA UN,12.40310078,Evoqua Water Technologies Corp
ARA UN,#N/A N/A,American Renal Associates Holdings Inc
ARAY UW,2.325581395,Accuray Inc
ARCB UW,12.40310078,ArcBest Corp
ARCH UN,4.651162791,Arch Resources Inc
ARDX UQ,#N/A N/A,Ardelyx Inc
ARES UN,#N/A N/A,Ares Management Corp
ARGO UN,1.785714286,Argo Group International Holdings Ltd
ARI UN,#N/A N/A,Apollo Commercial Real Estate Finance Inc
ARL UN,1.550387597,American Realty Investors Inc
ARLO UN,2.325581395,Arlo Technologies Inc
ARNA UW,#N/A N/A,Arena Pharmaceuticals Inc
AROC UN,1.550387597,Archrock Inc
AROW UW,1.785714286,Arrow Financial Corp
ARQT UW,#N/A N/A,Arcutis Biotherapeutics Inc
ARR UN,#N/A N/A,ARMOUR Residential REIT Inc
ARTNA UW,#N/A N/A,Artesian Resources Corp
ARVN UW,1.550387597,Arvinas Inc
ARWR UW,#N/A N/A,Arrowhead Pharmaceuticals Inc
ASC UN,#N/A N/A,Ardmore Shipping Corp
ASGN UN,#N/A N/A,ASGN Inc
ASIX UN,19.37984496,AdvanSix Inc
ASMB UW,#N/A N/A,Assembly Biosciences Inc
ASNA UW,25,Ascena Retail Group Inc
ASPS UW,#N/A N/A,Altisource Portfolio Solutions SA
ASRT UW,1.550387597,Assertio Holdings Inc
ASTE UW,6.201550388,Astec Industries Inc
AT UN,1.550387597,Atlantic Power Corp
ATEC UW,#N/A N/A,Alphatec Holdings Inc
ATEN UN,#N/A N/A,A10 Networks Inc
ATEX UR,#N/A N/A,Anterix Inc
ATGE UN,4.651162791,Adtalem Global Education Inc
ATHX UR,#N/A N/A,Athersys Inc
ATI UN,#N/A N/A,Allegheny Technologies Inc
ATKR UN,11.62790698,Atkore International Group Inc
ATLO UR,#N/A N/A,Ames National Corp
ATNI UW,#N/A N/A,ATN International Inc
ATNX UW,#N/A N/A,Athenex Inc
ATRA UW,#N/A N/A,Atara Biotherapeutics Inc
ATRC UQ,1.550387597,AtriCure Inc
ATRI UW,#N/A N/A,Atrion Corp
ATRO UW,#N/A N/A,Astronics Corp
ATRS UR,#N/A N/A,Antares Pharma Inc
ATSG UW,1.550387597,Air Transport Services Group Inc
AUB UW,#N/A N/A,Atlantic Union Bankshares Corp
AVA UN,#N/A N/A,Avista Corp
AVAV UW,#N/A N/A,AeroVironment Inc
AVCO UR,#N/A N/A,Avalon GloboCare Corp
AVD UN,#N/A N/A,American Vanguard Corp
AVID UW,#N/A N/A,Avid Technology Inc
AVNS UN,#N/A N/A,Avanos Medical Inc
AVRO UW,#N/A N/A,Avrobio Inc
AVXL UR,#N/A N/A,Anavex Life Sciences Corp
AVYA UN,#N/A N/A,Avaya Holdings Corp
AWR UN,1.379310345,American States Water Co
AX UN,#N/A N/A,Axos Financial Inc
AXAS UR,4.132231405,Abraxas Petroleum Corp
AXDX UR,#N/A N/A,Accelerate Diagnostics Inc
AXE UN,#N/A N/A,Anixter International Inc
AXGN UR,#N/A N/A,Axogen Inc
AXL UN,28.68217054,American Axle & Manufacturing Holdings Inc
AXLA UQ,#N/A N/A,Axcella Health Inc
AXNX UW,#N/A N/A,Axonics Modulation Technologies Inc
AXSM UQ,#N/A N/A,Axsome Therapeutics Inc
AXTI UW,1.550387597,AXT Inc
AZZ UN,3.100775194,AZZ Inc
B UN,11.62790698,Barnes Group Inc
BANC UN,1.785714286,Banc of California Inc
BAND UW,#N/A N/A,Bandwidth Inc
BANF UW,1.785714286,BancFirst Corp
BANR UW,1.785714286,Banner Corp
BATRA UW,#N/A N/A,Liberty Media Corp-Liberty Braves
BATRK UW,#N/A N/A,Liberty Media Corp-Liberty Braves
BBBY UW,#N/A N/A,Bed Bath & Beyond Inc
BBCP UR,#N/A N/A,Concrete Pumping Holdings Inc
BBIO UW,#N/A N/A,Bridgebio Pharma Inc
BBSI UW,1.550387597,Barrett Business Services Inc
BBX UN,#N/A N/A,BBX Capital Corp
BCBP UQ,1.785714286,BCB Bancorp Inc
BCC UN,17.05426357,Boise Cascade Co
BCEI UN,#N/A N/A,Bonanza Creek Energy Inc
BCEL UW,#N/A N/A,Atreca Inc
BCML UW,1.785714286,Baycom Corp
BCO UN,1.550387597,Brink's Co/The
BCOR UW,#N/A N/A,Blucora Inc
BCOV UW,#N/A N/A,Brightcove Inc
BCPC UW,1.550387597,Balchem Corp
BCRX UW,1.550387597,BioCryst Pharmaceuticals Inc
BDC UN,6.201550388,Belden Inc
BDGE UW,1.785714286,Bridge Bancorp Inc
BDSI UW,#N/A N/A,BioDelivery Sciences International Inc
BDTX UW,#N/A N/A,Black Diamond Therapeutics Inc
BE UN,2.325581395,Bloom Energy Corp
BEAM UW,#N/A N/A,Beam Therapeutics Inc
BEAT UW,5.426356589,BioTelemetry Inc
BECN UW,1.550387597,Beacon Roofing Supply Inc
BELFB UW,2.325581395,Bel Fuse Inc
BFC UR,#N/A N/A,Bank First Corp
BFIN UW,1.785714286,BankFinancial Corp
BFS UN,#N/A N/A,Saul Centers Inc
BFST UW,1.785714286,Business First Bancshares Inc
BFYT UQ,#N/A N/A,Benefytt Technologies Inc
BGG UN,2.325581395,Briggs & Stratton Corp
BGS UN,10.07751938,B&G Foods Inc
BGSF UN,#N/A N/A,BG Staffing Inc
BH UN,1.550387597,Biglari Holdings Inc
BHB UA,#N/A N/A,Bar Harbor Bankshares
BHE UN,6.201550388,Benchmark Electronics Inc
BHLB UN,21.42857143,Berkshire Hills Bancorp Inc
BHR UN,#N/A N/A,Braemar Hotels & Resorts Inc
BHVN UN,#N/A N/A,Biohaven Pharmaceutical Holding Co Ltd
BIG UN,#N/A N/A,Big Lots Inc
BJ UN,3.875968992,BJ's Wholesale Club Holdings Inc
BJRI UW,#N/A N/A,BJ's Restaurants Inc
BKD UN,#N/A N/A,Brookdale Senior Living Inc
BKE UN,#N/A N/A,Buckle Inc/The
BKH UN,#N/A N/A,Black Hills Corp
BL UW,1.550387597,Blackline Inc
BLBD UQ,1.550387597,Blue Bird Corp
BLD UN,6.201550388,TopBuild Corp
BLDR UW,#N/A N/A,Builders FirstSource Inc
BLFS UR,1.550387597,BioLife Solutions Inc
BLKB UW,#N/A N/A,Blackbaud Inc
BLMN UW,4.651162791,Bloomin' Brands Inc
BLX UN,5.357142857,Banco Latinoamericano de Comercio Exterior SA
BMCH UW,3.875968992,BMC Stock Holdings Inc
BMI UN,#N/A N/A,Badger Meter Inc
BMRC UR,#N/A N/A,Bank of Marin Bancorp
BMTC UW,9.821428571,Bryn Mawr Bank Corp
BNED UN,#N/A N/A,Barnes & Noble Education Inc
BNFT UQ,#N/A N/A,Benefitfocus Inc
BOCH UQ,#N/A N/A,Bank of Commerce Holdings
BOMN UR,#N/A N/A,Boston Omaha Corp
BOOM UW,#N/A N/A,DMC Global Inc
BOOT UN,#N/A N/A,Boot Barn Holdings Inc
BOX UN,#N/A N/A,Box Inc
BPFH UW,#N/A N/A,Boston Private Financial Holdings Inc
BPMC UW,1.550387597,Blueprint Medicines Corp
BPRN UW,#N/A N/A,Bank of Princeton/The
BRBR UN,#N/A N/A,BellRing Brands Inc
BRC UN,6.201550388,Brady Corp
BREW UW,7.751937984,Craft Brew Alliance Inc
BRG UA,#N/A N/A,Bluerock Residential Growth REIT Inc
BRID UQ,1.550387597,Bridgford Foods Corp
BRKL UW,#N/A N/A,Brookline Bancorp Inc
BRKS UW,1.550387597,Brooks Automation Inc
BRP UW,#N/A N/A,BRP Group Inc
BRT UN,1.550387597,BRT Apartments Corp
BRY UW,2.325581395,Berry Corp
BSET UW,4.651162791,Bassett Furniture Industries Inc
BSGM UR,#N/A N/A,BioSig Technologies Inc
BSIG UN,5.357142857,Brightsphere Investment Group Inc
BSRR UW,1.785714286,Sierra Bancorp
BSTC UQ,#N/A N/A,BioSpecifics Technologies Corp
BSVN UW,#N/A N/A,Bank7 Corp
BTAI UR,2.325581395,Bioxcel Therapeutics Inc
BTU UN,#N/A N/A,Peabody Energy Corp
BUSE UW,#N/A N/A,First Busey Corp
BV UN,#N/A N/A,BrightView Holdings Inc
BWB UR,#N/A N/A,Bridgewater Bancshares Inc
BWFG UQ,1.785714286,Bankwell Financial Group Inc
BXC UN,#N/A N/A,BlueLinx Holdings Inc
BXG UN,1.550387597,Bluegreen Vacations Corp
BXMT UN,#N/A N/A,Blackstone Mortgage Trust Inc
BXRX UR,#N/A N/A,Baudax Bio Inc
BXS UN,#N/A N/A,BancorpSouth Bank
BY UN,1.785714286,Byline Bancorp Inc
BYD UN,1.550387597,Boyd Gaming Corp
BYSI UR,#N/A N/A,Beyondspring Inc
BZH UN,#N/A N/A,Beazer Homes USA Inc
CABA UW,#N/A N/A,Cabaletta Bio Inc
CAC UW,1.785714286,Camden National Corp
CADE UN,1.785714286,Cadence BanCorp
CAI UN,#N/A N/A,CAI International Inc
CAKE UW,15.625,Cheesecake Factory Inc/The
CAL UN,#N/A N/A,Caleres Inc
CALA UW,#N/A N/A,Calithera Biosciences Inc
CALM UW,#N/A N/A,Cal-Maine Foods Inc
CALX UN,1.550387597,Calix Inc
CAMP UW,1.550387597,CalAmp Corp
CAR UW,#N/A N/A,Avis Budget Group Inc
CARA UQ,#N/A N/A,Cara Therapeutics Inc
CARE UW,#N/A N/A,Carter Bank & Trust
CARG UW,#N/A N/A,Cargurus Inc
CARS UN,#N/A N/A,Cars.com Inc
CASA UW,#N/A N/A,Casa Systems Inc
CASH UW,#N/A N/A,Meta Financial Group Inc
CASI UR,#N/A N/A,CASI Pharmaceuticals Inc
CASS UW,#N/A N/A,Cass Information Systems Inc
CATC UR,#N/A N/A,Cambridge Bancorp
CATM UW,#N/A N/A,Cardtronics PLC
CATO UN,#N/A N/A,Cato Corp/The
CATS UR,#N/A N/A,Catasys Inc
CATY UW,1.785714286,Cathay General Bancorp
CBAN UQ,3.571428571,Colony Bankcorp Inc
CBAY UW,#N/A N/A,Cymabay Therapeutics Inc
CBB UN,#N/A N/A,Cincinnati Bell Inc
CBL UN,#N/A N/A,CBL & Associates Properties Inc
CBMG UW,1.550387597,Cellular Biomedicine Group Inc
CBNK UW,1.785714286,Capital Bancorp Inc
CBRL UW,2.083333333,Cracker Barrel Old Country Store Inc
CBTX UW,1.785714286,CBTX Inc
CBU UN,#N/A N/A,Community Bank System Inc
CBZ UN,6.976744186,CBIZ Inc
CCB UW,1.785714286,Coastal Financial Corp/WA
CCBG UW,1.785714286,Capital City Bank Group Inc
CCF UA,#N/A N/A,Chase Corp
CCMP UW,2.325581395,Cabot Microelectronics Corp
CCNE UW,#N/A N/A,CNB Financial Corp/PA
CCO UN,4.651162791,Clear Channel Outdoor Holdings Inc
CCOI UW,#N/A N/A,Cogent Communications Holdings Inc
CCRN UW,1.550387597,Cross Country Healthcare Inc
CCS UN,1.550387597,Century Communities Inc
CCXI UW,#N/A N/A,ChemoCentryx Inc
CDE UN,#N/A N/A,Coeur Mining Inc
CDLX UQ,#N/A N/A,Cardlytics Inc
CDMO UR,#N/A N/A,Avid Bioservices Inc
CDNA UQ,#N/A N/A,CareDx Inc
CDR UN,1.550387597,Cedar Realty Trust Inc
CDXC UR,#N/A N/A,ChromaDex Corp
CDXS UW,#N/A N/A,Codexis Inc
CDZI UQ,#N/A N/A,Cadiz Inc
CECE UW,1.550387597,CECO Environmental Corp
CEIX UN,31.00775194,CONSOL Energy Inc
CELC UR,#N/A N/A,Celcuity Inc
CELH UR,#N/A N/A,Celsius Holdings Inc
CENT UW,1.550387597,Central Garden & Pet Co
CENTA UW,1.550387597,Central Garden & Pet Co
CENX UW,#N/A N/A,Century Aluminum Co
CERC UR,#N/A N/A,Cerecor Inc
CERS UQ,#N/A N/A,Cerus Corp
CETV UW,#N/A N/A,Central European Media Enterprises Ltd
CEVA UW,1.550387597,CEVA Inc
CFB UW,#N/A N/A,CrossFirst Bankshares Inc
CFFI UW,1.785714286,C&F Financial Corp
CFFN UW,#N/A N/A,Capitol Federal Financial Inc
CFMS UW,#N/A N/A,Conformis Inc
CHAP UN,#N/A N/A,Chaparral Energy Inc
CHCO UW,1.785714286,City Holding Co
CHCT UN,#N/A N/A,Community Healthcare Trust Inc
CHDN UW,2.325581395,Churchill Downs Inc
CHEF UW,#N/A N/A,Chefs' Warehouse Inc/The
CHGG UN,#N/A N/A,Chegg Inc
CHMA UW,#N/A N/A,Chiasma Inc
CHMG UW,#N/A N/A,Chemung Financial Corp
CHMI UN,#N/A N/A,Cherry Hill Mortgage Investment Corp
CHRA UN,1.550387597,Charah Solutions Inc
CHRS UQ,#N/A N/A,Coherus Biosciences Inc
CHS UN,4.166666667,Chico's FAS Inc
CHUY UW,#N/A N/A,Chuy's Holdings Inc
CIA UN,#N/A N/A,Citizens Inc/TX
CIO UN,#N/A N/A,City Office REIT Inc
CIR UN,6.201550388,CIRCOR International Inc
CIVB UR,3.571428571,Civista Bancshares Inc
CIX UA,1.550387597,CompX International Inc
CKH UN,1.550387597,SEACOR Holdings Inc
CKPT UR,#N/A N/A,Checkpoint Therapeutics Inc
CLAR UW,1.550387597,Clarus Corp
CLBK UW,1.785714286,Columbia Financial Inc
CLCT UQ,#N/A N/A,Collectors Universe Inc
CLDR UN,#N/A N/A,Cloudera Inc
CLDT UN,#N/A N/A,Chatham Lodging Trust
CLF UN,10.07751938,Cleveland-Cliffs Inc
CLFD UQ,#N/A N/A,Clearfield Inc
CLI UN,3.100775194,Mack-Cali Realty Corp
CLNC UN,1.785714286,Colony Credit Real Estate Inc
CLNE UW,#N/A N/A,Clean Energy Fuels Corp
CLPR UN,1.550387597,Clipper Realty Inc
CLVS UW,#N/A N/A,Clovis Oncology Inc
CLW UN,13.17829457,Clearwater Paper Corp
CLXT UQ,#N/A N/A,Calyxt Inc
CMBM UQ,#N/A N/A,Cambium Networks Corp
CMC UN,#N/A N/A,Commercial Metals Co
CMCO UW,1.550387597,Columbus McKinnon Corp/NY
CMCT UQ,1.550387597,CIM Commercial Trust Corp
CMLS UQ,#N/A N/A,Cumulus Media Inc
CMO UN,#N/A N/A,Capstead Mortgage Corp
CMP UN,#N/A N/A,Compass Minerals International Inc
CMPR UW,6.201550388,Cimpress PLC
CMRE UN,2.325581395,Costamare Inc
CMRX UQ,#N/A N/A,Chimerix Inc
CMTL UW,#N/A N/A,Comtech Telecommunications Corp
CNBKA UW,#N/A N/A,Century Bancorp Inc/MA
CNCE UQ,#N/A N/A,Concert Pharmaceuticals Inc
CNDT UW,3.875968992,Conduent Inc
CNMD UN,3.875968992,CONMED Corp
CNNE UN,#N/A N/A,Cannae Holdings Inc
CNO UN,10.71428571,CNO Financial Group Inc
CNOB UW,#N/A N/A,ConnectOne Bancorp Inc
CNR UN,5.426356589,Cornerstone Building Brands Inc
CNS UN,1.785714286,Cohen & Steers Inc
CNSL UW,9.756097561,Consolidated Communications Holdings Inc
CNST UW,#N/A N/A,Constellation Pharmaceuticals Inc
CNTG UQ,#N/A N/A,Centogene NV
CNTY UR,#N/A N/A,Century Casinos Inc
CNX UN,#N/A N/A,CNX Resources Corp
CNXN UW,#N/A N/A,PC Connection Inc
CODA UR,#N/A N/A,Coda Octopus Group Inc
COHU UW,2.325581395,Cohu Inc
COKE UW,6.201550388,Coca-Cola Consolidated Inc
COLB UW,1.785714286,Columbia Banking System Inc
COLL UW,#N/A N/A,Collegium Pharmaceutical Inc
CONN UW,2.083333333,Conn's Inc
COOP UR,#N/A N/A,Mr Cooper Group Inc
CORE UW,3.875968992,Core-Mark Holding Co Inc
CORR UN,#N/A N/A,CorEnergy Infrastructure Trust Inc
CORT UR,#N/A N/A,Corcept Therapeutics Inc
COWN UW,#N/A N/A,Cowen Inc
CPE UN,4.132231405,Callon Petroleum Co
CPF UN,#N/A N/A,Central Pacific Financial Corp
CPK UN,5.517241379,Chesapeake Utilities Corp
CPLG UN,1.550387597,CorePoint Lodging Inc
CPRX UR,#N/A N/A,Catalyst Pharmaceuticals Inc
CPS UN,28.68217054,Cooper-Standard Holdings Inc
CPSI UW,#N/A N/A,Computer Programs and Systems Inc
CRAI UW,#N/A N/A,CRA International Inc
CRBP UQ,#N/A N/A,Corbus Pharmaceuticals Holdings Inc
CRC UN,#N/A N/A,California Resources Corp
CRD/A UN,#N/A N/A,Crawford & Co
CRK UN,4.132231405,Comstock Resources Inc
CRMD UA,#N/A N/A,CorMedix Inc
CRMT UW,2.325581395,America's Car-Mart Inc/TX
CRNX UW,#N/A N/A,Crinetics Pharmaceuticals Inc
CROX UW,#N/A N/A,Crocs Inc
CRS UN,4.651162791,Carpenter Technology Corp
CRTX UW,#N/A N/A,Cortexyme Inc
CRUS UW,2.325581395,Cirrus Logic Inc
CRVL UW,1.550387597,CorVel Corp
CRY UN,#N/A N/A,CryoLife Inc
CSGS UW,1.550387597,CSG Systems International Inc
CSII UW,#N/A N/A,Cardiovascular Systems Inc
CSLT UN,#N/A N/A,Castlight Health Inc
CSOD UW,#N/A N/A,Cornerstone OnDemand Inc
CSPR UN,#N/A N/A,Casper Sleep Inc
CSTE UW,12.40310078,Caesarstone Ltd
CSTL UQ,#N/A N/A,Castle Biosciences Inc
CSTR UW,#N/A N/A,Capstar Financial Holdings Inc
CSV UN,#N/A N/A,Carriage Services Inc
CSWI UW,#N/A N/A,CSW Industrials Inc
CTB UN,#N/A N/A,Cooper Tire & Rubber Co
CTBI UW,1.785714286,Community Trust Bancorp Inc
CTMX UW,#N/A N/A,CytomX Therapeutics Inc
CTO UA,3.100775194,CTO Realty Growth Inc
CTRA UN,3.875968992,Contura Energy Inc
CTRE UW,3.100775194,CareTrust REIT Inc
CTRN UW,#N/A N/A,Citi Trends Inc
CTS UN,9.302325581,CTS Corp
CTSO UR,#N/A N/A,CytoSorbents Corp
CTT UN,#N/A N/A,CatchMark Timber Trust Inc
CUB UN,6.976744186,Cubic Corp
CUBI UN,#N/A N/A,Customers Bancorp Inc
CUE UR,#N/A N/A,Cue Biopharma Inc
CULP UN,4.651162791,Culp Inc
CURO UN,1.550387597,Curo Group Holdings Corp
CUTR UW,#N/A N/A,Cutera Inc
CVA UN,#N/A N/A,Covanta Holding Corp
CVBF UW,1.785714286,CVB Financial Corp
CVCO UW,1.550387597,Cavco Industries Inc
CVCY UR,#N/A N/A,Central Valley Community Bancorp
CVGI UW,#N/A N/A,Commercial Vehicle Group Inc
CVGW UW,#N/A N/A,Calavo Growers Inc
CVI UN,1.550387597,CVR Energy Inc
CVIA UN,#N/A N/A,Covia Holdings Corp
CVLT UW,#N/A N/A,CommVault Systems Inc
CVLY UQ,#N/A N/A,Codorus Valley Bancorp Inc
CVM UA,#N/A N/A,CEL-SCI Corp
CVTI UW,#N/A N/A,Covenant Transportation Group Inc
CWCO UW,#N/A N/A,Consolidated Water Co Ltd
CWEN UN,3.875968992,Clearway Energy Inc
CWEN/A UN,3.875968992,Clearway Energy Inc
CWH UN,10.07751938,Camping World Holdings Inc
CWK UN,#N/A N/A,Cushman & Wakefield PLC
CWST UW,#N/A N/A,Casella Waste Systems Inc
CWT UN,22.06896552,California Water Service Group
CXW UN,#N/A N/A,CoreCivic Inc
CYCN UW,#N/A N/A,Cyclerion Therapeutics Inc
CYH UN,#N/A N/A,Community Health Systems Inc
CYRX UR,#N/A N/A,CryoPort Inc
CYTK UW,#N/A N/A,Cytokinetics Inc
CZNC UR,#N/A N/A,Citizens & Northern Corp
DAKT UW,1.550387597,Daktronics Inc
DAN UN,35.65891473,Dana Inc
DAR UN,3.100775194,Darling Ingredients Inc
DBD UN,#N/A N/A,Diebold Nixdorf Inc
DBI UN,#N/A N/A,Designer Brands Inc
DCO UN,1.550387597,Ducommun Inc
DCOM UW,1.785714286,Dime Community Bancshares Inc
DCPH UW,#N/A N/A,Deciphera Pharmaceuticals Inc
DDD UN,#N/A N/A,3D Systems Corp
DDS UN,9.375,Dillard's Inc
DEA UN,#N/A N/A,Easterly Government Properties Inc
DECK UN,18.60465116,Deckers Outdoor Corp
DENN UR,#N/A N/A,Denny's Corp
DFIN UN,#N/A N/A,Donnelley Financial Solutions Inc
DGICA UW,#N/A N/A,Donegal Group Inc
DGII UW,#N/A N/A,Digi International Inc
DHC UW,3.100775194,Diversified Healthcare Trust
DHIL UW,#N/A N/A,Diamond Hill Investment Group Inc
DHT UN,#N/A N/A,DHT Holdings Inc
DHX UN,#N/A N/A,DHI Group Inc
DIN UN,10.41666667,Dine Brands Global Inc
DIOD UW,3.875968992,Diodes Inc
DJCO UR,#N/A N/A,Daily Journal Corp
DK UN,#N/A N/A,Delek US Holdings Inc
DLA UA,1.550387597,Delta Apparel Inc
DLTH UW,#N/A N/A,Duluth Holdings Inc
DLX UN,3.875968992,Deluxe Corp
DMRC UW,6.976744186,Digimarc Corp
DNLI UW,#N/A N/A,Denali Therapeutics Inc
DNOW UN,#N/A N/A,NOW Inc
DNR UN,#N/A N/A,Denbury Resources Inc
DOC UN,#N/A N/A,Physicians Realty Trust
DOMO UQ,#N/A N/A,Domo Inc
DOOR UN,#N/A N/A,Masonite International Corp
DORM UW,3.875968992,Dorman Products Inc
DRH UN,#N/A N/A,DiamondRock Hospitality Co
DRNA UW,#N/A N/A,Dicerna Pharmaceuticals Inc
DRQ UN,2.325581395,Dril-Quip Inc
DS UN,#N/A N/A,Drive Shack Inc
DSKE UR,1.550387597,Daseke Inc
DSPG UW,#N/A N/A,DSP Group Inc
DSSI UN,#N/A N/A,Diamond S Shipping Inc
DTIL UW,#N/A N/A,Precision BioSciences Inc
DVAX UR,#N/A N/A,Dynavax Technologies Corp
DX UN,#N/A N/A,Dynex Capital Inc
DXPE UW,#N/A N/A,DXP Enterprises Inc/TX
DY UN,2.325581395,Dycom Industries Inc
DZSI UR,#N/A N/A,DASAN Zhone Solutions Inc
EAT UN,3.125,Brinker International Inc
EB UN,1.550387597,Eventbrite Inc
EBF UN,#N/A N/A,Ennis Inc
EBIX UW,#N/A N/A,Ebix Inc
EBS UN,#N/A N/A,Emergent BioSolutions Inc
EBSB UW,1.785714286,Meridian Bancorp Inc
EBTC UW,#N/A N/A,Enterprise Bancorp Inc/MA
ECHO UW,11.62790698,Echo Global Logistics Inc
ECOL UW,2.325581395,US Ecology Inc
ECOM UN,#N/A N/A,ChannelAdvisor Corp
ECOR UW,#N/A N/A,ElectroCore Inc
ECPG UW,1.785714286,Encore Capital Group Inc
EDIT UW,#N/A N/A,Editas Medicine Inc
EE UN,#N/A N/A,El Paso Electric Co
EEX UN,#N/A N/A,Emerald Holding Inc
EFC UN,#N/A N/A,Ellington Financial Inc
EFSC UW,1.785714286,Enterprise Financial Services Corp
EGAN UR,#N/A N/A,eGain Corp
EGBN UR,1.785714286,Eagle Bancorp Inc
EGHT UN,#N/A N/A,8x8 Inc
EGLE UW,1.550387597,Eagle Bulk Shipping Inc
EGOV UW,#N/A N/A,NIC Inc
EGP UN,2.325581395,EastGroup Properties Inc
EGRX UQ,#N/A N/A,Eagle Pharmaceuticals Inc/DE
EHTH UW,#N/A N/A,eHealth Inc
EIDX UW,#N/A N/A,Eidos Therapeutics Inc
EIG UN,#N/A N/A,Employers Holdings Inc
EIGI UW,1.550387597,Endurance International Group Holdings Inc
EIGR UQ,#N/A N/A,Eiger BioPharmaceuticals Inc
ELF UN,#N/A N/A,elf Beauty Inc
ELOX UQ,#N/A N/A,Eloxx Pharmaceuticals Inc
ELVT UN,#N/A N/A,Elevate Credit Inc
ELY UN,#N/A N/A,Callaway Golf Co
EME UN,13.17829457,EMCOR Group Inc
EML UQ,#N/A N/A,Eastern Co/The
ENDP UW,9.302325581,Endo International PLC
ENOB UR,#N/A N/A,Enochian Biosciences Inc
ENPH UQ,1.550387597,Enphase Energy Inc
ENS UN,#N/A N/A,EnerSys
ENSG UW,#N/A N/A,Ensign Group Inc/The
ENTA UW,#N/A N/A,Enanta Pharmaceuticals Inc
ENV UN,#N/A N/A,Envestnet Inc
ENVA UN,#N/A N/A,Enova International Inc
ENZ UN,#N/A N/A,Enzo Biochem Inc
EOLS UQ,#N/A N/A,Evolus Inc
EPAC UN,2.325581395,Enerpac Tool Group Corp
EPAY UW,#N/A N/A,Bottomline Technologies DE Inc
EPC UN,#N/A N/A,Edgewell Personal Care Co
EPM UA,#N/A N/A,Evolution Petroleum Corp
EPRT UN,1.550387597,Essential Properties Realty Trust Inc
EPZM UW,#N/A N/A,Epizyme Inc
EQBK UW,#N/A N/A,Equity Bancshares Inc
ERI UW,#N/A N/A,Eldorado Resorts Inc
ERII UW,#N/A N/A,Energy Recovery Inc
EROS UN,1.550387597,Eros International PLC
ESCA UQ,#N/A N/A,Escalade Inc
ESE UN,4.651162791,ESCO Technologies Inc
ESGR UW,#N/A N/A,Enstar Group Ltd
ESNT UN,#N/A N/A,Essent Group Ltd
ESPR UQ,#N/A N/A,Esperion Therapeutics Inc
ESQ UR,#N/A N/A,Esquire Financial Holdings Inc
ESSA UW,1.785714286,ESSA Bancorp Inc
